Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Date,Year,Month,Day,Weekday,Temperature Difference,Power [W],Wear Category,RPM_Torque_Ratio,Air_Process_Interaction,Temperature_Wear_Interaction,ToolWear_roll_mean_1_hours,ToolWear_roll_mean_6_hours,ToolWear_roll_mean_12_hours,ToolWear_roll_mean_24_hours
L,296.7,307.6,1540,38.6,53,0,No Failure,2024-01-12 12:30:00,2024,1,12,Friday,10.900000000000034,6225.284852546917,Low,39.89637305699482,91264.92,16302.800000000001,46.5,75.08333333333333,115.75,89.86458333333333
M,296.7,307.5,1515,42.1,55,0,No Failure,2024-01-12 12:45:00,2024,1,12,Friday,10.800000000000011,6679.530412198392,Low,35.98574821852731,91235.25,16912.5,49.0,69.375,114.22916666666667,90.36458333333333
L,296.6,307.4,1504,45.8,58,0,No Failure,2024-01-12 13:00:00,2024,1,12,Friday,10.799999999999955,7213.806970509383,Low,32.838427947598255,91174.84,17829.199999999997,51.5,63.666666666666664,112.70833333333333,90.85416666666667
L,296.6,307.5,1557,35.1,60,0,No Failure,2024-01-12 13:15:00,2024,1,12,Friday,10.899999999999977,5723.305546246649,Low,44.35897435897436,91204.5,18450.0,54.0,57.875,111.20833333333333,91.34375
L,296.5,307.4,1292,52.5,62,0,No Failure,2024-01-12 13:30:00,2024,1,12,Friday,10.899999999999977,7103.510388739946,Low,24.60952380952381,91144.09999999999,19058.8,56.5,52.083333333333336,109.6875,91.82291666666667
H,296.5,307.4,1432,49.2,64,0,No Failure,2024-01-12 13:45:00,2024,1,12,Friday,10.899999999999977,7378.351206434318,Low,29.10569105691057,91144.09999999999,19673.6,58.75,46.25,108.10416666666667,92.29166666666667
M,296.5,307.4,1350,55.6,69,0,No Failure,2024-01-12 14:00:00,2024,1,12,Friday,10.899999999999977,7860.673592493297,Low,24.280575539568346,91144.09999999999,21210.6,61.0,40.416666666666664,106.52083333333333,92.75
M,296.6,307.4,1790,25.8,72,0,No Failure,2024-01-12 14:15:00,2024,1,12,Friday,10.799999999999955,4836.419235924933,Low,69.37984496124031,91174.84,22132.8,63.75,34.708333333333336,105.0,93.23958333333333
H,296.4,307.3,1540,37.4,75,0,No Failure,2024-01-12 14:30:00,2024,1,12,Friday,10.900000000000034,6031.752680965147,Low,41.1764705882353,91083.72,23047.5,66.75,37.708333333333336,103.47916666666667,93.73958333333333
M,296.4,307.3,2077,19.1,80,0,No Failure,2024-01-12 14:45:00,2024,1,12,Friday,10.900000000000034,4154.522034182306,Low,108.74345549738219,91083.72,24584.0,70.0,40.708333333333336,101.95833333333333,94.23958333333333
L,296.4,307.3,1487,37.5,83,0,No Failure,2024-01-12 15:00:00,2024,1,12,Friday,10.900000000000034,5839.739024798928,Low,39.653333333333336,91083.72,25505.9,74.0,43.791666666666664,100.5,94.77083333333333
L,296.5,307.4,1523,40.7,85,0,No Failure,2024-01-12 15:15:00,2024,1,12,Friday,10.899999999999977,6491.50678619303,Low,37.420147420147416,91144.09999999999,26128.999999999996,77.5,46.916666666666664,99.04166666666667,95.3125
L,296.5,307.5,1443,41.8,87,0,No Failure,2024-01-12 15:30:00,2024,1,12,Friday,11.0,6316.751843163538,Low,34.52153110047847,91173.75,26752.5,80.75,50.041666666666664,97.58333333333333,95.85416666666667
L,296.5,307.5,1340,59.1,89,0,No Failure,2024-01-12 15:45:00,2024,1,12,Friday,11.0,8293.607573726542,Low,22.673434856175973,91173.75,27367.5,83.75,53.125,96.125,96.39583333333333
H,296.6,307.7,1654,31.0,91,0,No Failure,2024-01-12 16:00:00,2024,1,12,Friday,11.099999999999966,5369.679959785522,Low,53.354838709677416,91263.82,28000.7,86.0,56.166666666666664,94.64583333333333,96.92708333333333
L,296.6,307.6,1459,40.2,96,0,No Failure,2024-01-12 16:15:00,2024,1,12,Friday,11.0,6142.321548257373,Low,36.29353233830845,91234.16000000002,29529.600000000002,88.0,59.125,93.14583333333333,97.45833333333333
L,296.5,307.6,1541,38.5,98,0,No Failure,2024-01-12 16:30:00,2024,1,12,Friday,11.100000000000023,6213.1890918230565,Low,40.02597402597402,91203.40000000001,30144.800000000003,90.75,62.208333333333336,91.70833333333333,98.02083333333333
H,296.6,307.7,1386,62.3,100,1,Power Failure,2024-01-12 16:45:00,2024,1,12,Friday,11.099999999999966,9042.790717158177,Low,22.247191011235955,91263.82,30770.0,93.5,65.16666666666667,90.25,98.58333333333333
M,296.7,307.8,1258,69.0,105,1,Power Failure,2024-01-12 17:00:00,2024,1,12,Friday,11.100000000000023,9090.356903485255,Medium,18.231884057971016,91324.26,32319.0,96.25,68.08333333333333,88.79166666666667,99.14583333333333
M,296.7,307.8,1375,51.4,108,0,No Failure,2024-01-12 17:15:00,2024,1,12,Friday,11.100000000000023,7401.453585790885,Medium,26.750972762645915,91324.26,33242.4,99.75,71.08333333333333,87.39583333333333,99.73958333333333
L,296.8,307.9,1706,30.8,111,0,No Failure,2024-01-12 17:30:00,2024,1,12,Friday,11.099999999999966,5502.764745308311,Medium,55.38961038961039,91384.72,34176.899999999994,102.75,74.0,85.95833333333333,100.33333333333333
M,296.7,307.8,1672,32.4,113,0,No Failure,2024-01-12 17:45:00,2024,1,12,Friday,11.100000000000023,5673.257372654155,Medium,51.604938271604944,91324.26,34781.4,106.0,76.83333333333333,84.54166666666667,100.9375
M,296.8,307.9,1843,25.2,116,0,No Failure,2024-01-12 18:00:00,2024,1,12,Friday,11.099999999999966,4863.815348525469,Medium,73.13492063492063,91384.72,35716.399999999994,109.25,79.66666666666667,83.125,101.53125
L,296.7,307.9,1690,29.6,119,0,No Failure,2024-01-12 18:15:00,2024,1,12,Friday,11.199999999999989,5238.77345844504,Medium,57.09459459459459,91353.93,36640.1,112.0,82.5,81.66666666666667,102.13541666666667
L,296.8,307.9,1413,46.5,121,0,No Failure,2024-01-12 18:30:00,2024,1,12,Friday,11.099999999999966,6880.91697386059,Medium,30.387096774193548,91384.72,37255.899999999994,114.75,85.375,80.22916666666667,102.75
L,296.8,307.9,1489,33.4,123,0,No Failure,2024-01-12 18:45:00,2024,1,12,Friday,11.099999999999966,5208.256534852547,Medium,44.5808383233533,91384.72,37871.7,117.25,88.20833333333333,78.79166666666667,103.36458333333333
L,296.8,307.9,1271,61.4,125,0,No Failure,2024-01-12 19:00:00,2024,1,12,Friday,11.099999999999966,8172.691856568364,Medium,20.700325732899024,91384.72,38487.5,119.75,91.04166666666667,77.35416666666667,103.94791666666667
M,296.8,307.9,1418,47.9,127,0,No Failure,2024-01-12 19:15:00,2024,1,12,Friday,11.099999999999966,7113.16605227882,Medium,29.603340292275576,91384.72,39103.299999999996,122.0,93.83333333333333,75.85416666666667,104.52083333333333
M,296.9,307.8,1426,50.7,130,0,No Failure,2024-01-12 19:30:00,2024,1,12,Friday,10.900000000000034,7571.443532171582,Medium,28.126232741617354,91385.81999999999,40014.0,124.0,96.625,74.35416666666667,105.09375
L,296.9,307.9,1535,39.2,133,0,No Failure,2024-01-12 19:45:00,2024,1,12,Friday,11.0,6301.524798927615,Medium,39.15816326530612,91415.50999999998,40950.7,126.25,99.45833333333333,72.85416666666667,105.66666666666667
L,296.9,307.8,1557,38.1,135,0,No Failure,2024-01-12 20:00:00,2024,1,12,Friday,10.900000000000034,6212.476960455764,Medium,40.86614173228347,91385.81999999999,41553.0,128.75,102.33333333333333,71.375,106.21875
L,296.9,307.8,1653,29.7,137,0,No Failure,2024-01-12 20:15:00,2024,1,12,Friday,10.900000000000034,5141.3894939678285,Medium,55.65656565656566,91385.81999999999,42168.6,131.25,105.08333333333333,69.89583333333333,106.77083333333333
L,296.9,307.9,1435,41.6,139,0,No Failure,2024-01-12 20:30:00,2024,1,12,Friday,11.0,6251.675603217158,Medium,34.49519230769231,91415.50999999998,42798.1,133.75,107.79166666666667,72.75,107.32291666666667
M,297.0,307.9,1569,33.3,141,0,No Failure,2024-01-12 20:45:00,2024,1,12,Friday,10.899999999999977,5471.650888069705,Medium,47.11711711711712,91446.29999999999,43413.899999999994,136.0,110.45833333333333,75.58333333333333,107.875
M,296.9,307.9,1385,44.8,144,0,No Failure,2024-01-12 21:00:00,2024,1,12,Friday,11.0,6497.989276139409,Medium,30.915178571428573,91415.50999999998,44337.6,138.0,113.0,78.39583333333333,108.42708333333333
L,297.0,307.9,1635,31.6,147,0,No Failure,2024-01-12 21:15:00,2024,1,12,Friday,10.899999999999977,5410.732238605899,Medium,51.74050632911392,91446.29999999999,45261.299999999996,140.25,115.54166666666667,81.22916666666667,108.98958333333333
L,296.9,307.9,1423,43.9,149,0,No Failure,2024-01-12 21:30:00,2024,1,12,Friday,11.0,6542.1518934316355,Medium,32.41457858769932,91415.50999999998,45877.1,142.75,118.125,84.08333333333333,109.5625
L,297.0,307.9,1479,39.2,151,0,No Failure,2024-01-12 21:45:00,2024,1,12,Friday,10.899999999999977,6071.632037533513,High,37.72959183673469,91446.29999999999,46492.899999999994,145.25,120.70833333333333,86.91666666666667,110.13541666666667
L,297.0,307.9,1296,69.1,153,1,Power Failure,2024-01-12 22:00:00,2024,1,12,Friday,10.899999999999977,9378.518766756031,High,18.755426917510857,91446.29999999999,47108.7,147.75,123.29166666666667,89.72916666666667,110.67708333333333
L,297.0,307.8,1553,33.3,155,0,No Failure,2024-01-12 22:15:00,2024,1,12,Friday,10.800000000000011,5415.853300938337,High,46.63663663663664,91416.6,47709.0,150.0,125.875,92.5,111.21875
L,297.0,307.9,1529,42.2,157,0,No Failure,2024-01-12 22:30:00,2024,1,12,Friday,10.899999999999977,6757.267928954424,High,36.23222748815166,91446.29999999999,48340.299999999996,152.0,128.33333333333334,95.27083333333333,111.75
M,297.1,308.0,1690,25.6,159,0,No Failure,2024-01-12 22:45:00,2024,1,12,Friday,10.899999999999977,4530.8310991957105,High,66.015625,91506.8,48972.0,154.0,130.79166666666666,97.97916666666667,112.28125
L,297.1,308.0,1348,58.0,162,0,No Failure,2024-01-12 23:00:00,2024,1,12,Friday,10.899999999999977,8187.835120643432,High,23.24137931034483,91506.8,49896.0,156.0,133.25,100.66666666666667,112.8125
L,297.2,308.1,1446,38.5,164,0,No Failure,2024-01-12 23:15:00,2024,1,12,Friday,10.900000000000034,5830.156668900804,High,37.55844155844156,91567.32,50528.4,158.25,135.625,103.35416666666667,113.35416666666667
L,297.1,307.9,1456,50.0,166,0,No Failure,2024-01-12 23:30:00,2024,1,12,Friday,10.799999999999955,7623.994638069705,High,29.12,91477.09,51111.399999999994,160.5,137.95833333333334,105.97916666666667,113.89583333333333
L,297.0,307.9,1350,47.7,168,0,No Failure,2024-01-12 23:45:00,2024,1,12,Friday,10.899999999999977,6743.779323056301,High,28.30188679245283,91446.29999999999,51727.2,162.75,140.25,108.54166666666667,114.4375
L,297.1,307.9,1507,38.3,170,0,No Failure,2024-01-13 00:00:00,2024,1,13,Saturday,10.799999999999955,6044.539628016086,High,39.34725848563969,91477.09,52342.99999999999,165.0,142.54166666666666,111.10416666666667,114.96875
H,297.0,307.9,1448,45.6,172,0,No Failure,2024-01-13 00:15:00,2024,1,13,Saturday,10.899999999999977,6914.8793565683645,High,31.75438596491228,91446.29999999999,52958.799999999996,167.0,144.79166666666666,113.64583333333333,115.46875
L,296.9,307.9,1626,29.9,177,0,No Failure,2024-01-13 00:30:00,2024,1,13,Saturday,11.0,5091.466990616622,High,54.381270903010034,91415.50999999998,54498.299999999996,169.0,147.0,116.1875,115.96875
H,297.0,307.9,1846,27.3,179,0,No Failure,2024-01-13 00:45:00,2024,1,13,Saturday,10.899999999999977,5277.710288203753,High,67.61904761904762,91446.29999999999,55114.1,171.75,149.33333333333334,118.77083333333333,116.5
H,297.0,307.8,1404,40.7,184,0,No Failure,2024-01-13 01:00:00,2024,1,13,Saturday,10.800000000000011,5984.291219839142,High,34.4963144963145,91416.6,56635.200000000004,174.5,151.66666666666666,121.35416666666667,117.03125
L,297.0,307.8,1583,37.2,189,0,No Failure,2024-01-13 01:15:00,2024,1,13,Saturday,10.800000000000011,6167.015750670242,High,42.55376344086021,91416.6,58174.200000000004,178.0,154.125,123.97916666666667,117.59375
L,297.0,307.9,1436,47.7,191,0,No Failure,2024-01-13 01:30:00,2024,1,13,Saturday,10.899999999999977,7173.3830428954425,High,30.10482180293501,91446.29999999999,58808.899999999994,182.25,156.70833333333334,126.66666666666667,118.17708333333333
L,297.0,307.8,1609,35.6,193,0,No Failure,2024-01-13 01:45:00,2024,1,13,Saturday,10.800000000000011,5998.701407506703,High,45.19662921348314,91416.6,59405.4,185.75,159.25,129.35416666666666,118.72916666666667
H,297.0,307.7,1834,23.8,195,0,No Failure,2024-01-13 02:00:00,2024,1,13,Saturday,10.699999999999989,4571.171246648794,High,77.05882352941177,91386.9,60001.5,189.25,161.75,132.04166666666666,119.28125
L,297.0,307.8,1316,61.2,200,1,Overstrain Failure,2024-01-13 02:15:00,2024,1,13,Saturday,10.800000000000011,8434.483914209115,High,21.503267973856207,91416.6,61560.0,192.0,164.25,134.66666666666666,119.83333333333333
L,296.9,307.8,1400,57.1,202,1,Overstrain Failure,2024-01-13 02:30:00,2024,1,13,Saturday,10.900000000000034,8371.732573726542,Very High,24.518388791593694,91385.81999999999,62175.600000000006,194.75,166.875,137.33333333333334,120.40625
L,296.9,307.9,1367,47.1,204,0,No Failure,2024-01-13 02:45:00,2024,1,13,Saturday,11.0,6742.8053786863275,Very High,29.023354564755838,91415.50999999998,62811.6,197.5,169.5,139.97916666666666,120.96875
L,297.1,308.1,1754,30.3,206,0,No Failure,2024-01-13 03:00:00,2024,1,13,Saturday,11.0,5565.746481233245,Very High,57.88778877887788,91536.51000000001,63468.600000000006,200.25,172.125,142.5625,121.53125
L,297.1,308.1,1487,34.6,208,0,No Failure,2024-01-13 03:15:00,2024,1,13,Saturday,11.0,5388.132540214478,Very High,42.97687861271676,91536.51000000001,64084.8,203.0,174.70833333333334,145.125,122.08333333333333
M,297.1,308.1,1506,37.7,210,0,No Failure,2024-01-13 03:30:00,2024,1,13,Saturday,11.0,5945.898961126006,Very High,39.94694960212201,91536.51000000001,64701.00000000001,205.0,177.25,147.6875,122.63541666666667
L,297.0,308.1,1362,52.5,213,1,Overstrain Failure,2024-01-13 03:45:00,2024,1,13,Saturday,11.100000000000023,7488.375502680965,Very High,25.942857142857143,91505.70000000001,65625.3,207.0,179.79166666666666,150.25,123.1875
L,297.1,308.1,1584,36.8,215,0,No Failure,2024-01-13 04:00:00,2024,1,13,Saturday,11.0,6104.55764075067,Very High,43.04347826086957,91536.51000000001,66241.5,209.25,182.375,152.83333333333334,123.73958333333333
L,297.0,308.1,1355,43.7,217,0,No Failure,2024-01-13 04:15:00,2024,1,13,Saturday,11.100000000000023,6201.145693699733,Very High,31.006864988558352,91505.70000000001,66857.70000000001,211.5,184.95833333333334,155.41666666666666,124.28125
M,297.1,308.1,1823,24.3,219,0,No Failure,2024-01-13 04:30:00,2024,1,13,Saturday,11.0,4639.211209785523,Very High,75.02057613168724,91536.51000000001,67473.90000000001,213.75,187.54166666666666,157.9375,124.82291666666667
H,297.0,308.1,1517,41.4,222,0,No Failure,2024-01-13 04:45:00,2024,1,13,Saturday,11.100000000000023,6577.140583109919,Very High,36.64251207729469,91505.70000000001,68398.20000000001,216.0,190.125,160.45833333333334,125.35416666666667
L,297.1,308.1,1446,36.6,227,0,No Failure,2024-01-13 05:00:00,2024,1,13,Saturday,11.0,5542.43465147453,Very High,39.50819672131147,91536.51000000001,69938.70000000001,218.25,192.75,163.0,125.89583333333333
H,297.1,308.0,1559,38.8,229,0,No Failure,2024-01-13 05:15:00,2024,1,13,Saturday,10.899999999999977,6334.743632707775,Very High,40.180412371134025,91506.8,70532.0,221.25,195.45833333333334,165.54166666666666,126.46875
M,297.1,308.1,1352,44.4,0,0,No Failure,2024-01-13 05:30:00,2024,1,13,Saturday,11.0,6286.528150134048,Very Low,30.45045045045045,91536.51000000001,0.0,224.25,198.16666666666666,168.0625,127.01041666666667
M,297.2,308.3,1578,37.8,3,0,No Failure,2024-01-13 05:45:00,2024,1,13,Saturday,11.100000000000023,6246.690683646112,Very Low,41.74603174603175,91626.76,924.9000000000001,169.5,191.25,165.75,125.14583333333333
M,297.2,308.3,1429,42.0,6,0,No Failure,2024-01-13 06:00:00,2024,1,13,Saturday,11.100000000000023,6285.397117962467,Very Low,34.023809523809526,91626.76,1849.8000000000002,114.75,184.375,163.45833333333334,123.29166666666667
M,297.2,308.3,1604,39.4,9,0,No Failure,2024-01-13 06:15:00,2024,1,13,Saturday,11.100000000000023,6618.381367292225,Very Low,40.71065989847716,91626.76,2774.7000000000003,59.5,177.54166666666666,161.16666666666666,121.41666666666667
L,297.3,308.5,1398,60.4,12,0,No Failure,2024-01-13 06:30:00,2024,1,13,Saturday,11.199999999999989,8842.912198391421,Very Low,23.14569536423841,91717.05,3702.0,4.5,170.75,158.875,119.55208333333333
L,297.3,308.4,1441,43.4,14,0,No Failure,2024-01-13 06:45:00,2024,1,13,Saturday,11.099999999999966,6549.451239946381,Very Low,33.20276497695853,91687.31999999999,4317.599999999999,7.5,163.875,156.60416666666666,117.69791666666667
H,297.3,308.4,1531,35.6,16,0,No Failure,2024-01-13 07:00:00,2024,1,13,Saturday,11.099999999999966,5707.900469168901,Very Low,43.00561797752809,91687.31999999999,4934.4,10.25,157.0,154.33333333333334,115.84375
L,297.2,308.3,1379,52.1,21,0,No Failure,2024-01-13 07:15:00,2024,1,13,Saturday,11.100000000000023,7524.076323726543,Very Low,26.468330134357004,91626.76,6474.3,12.75,150.0,152.0625,113.95833333333333
L,297.3,308.3,1410,48.1,23,0,No Failure,2024-01-13 07:30:00,2024,1,13,Saturday,11.0,7102.567861930295,Very Low,29.313929313929314,91657.59000000001,7090.900000000001,15.75,143.0,149.85416666666666,112.10416666666667
L,297.3,308.4,1513,40.5,25,0,No Failure,2024-01-13 07:45:00,2024,1,13,Saturday,11.099999999999966,6417.193783512064,Very Low,37.358024691358025,91687.31999999999,7709.999999999999,18.5,136.0,147.625,110.23958333333333
L,297.3,308.5,1497,47.5,27,0,No Failure,2024-01-13 08:00:00,2024,1,13,Saturday,11.199999999999989,7446.747235254692,Very Low,31.51578947368421,91717.05,8329.5,21.25,129.0,145.375,108.375
L,297.3,308.4,1491,46.5,29,0,No Failure,2024-01-13 08:15:00,2024,1,13,Saturday,11.099999999999966,7260.7552781501345,Very Low,32.064516129032256,91687.31999999999,8943.599999999999,24.0,122.0,143.125,106.51041666666667
L,297.3,308.4,1417,47.8,31,0,No Failure,2024-01-13 08:30:00,2024,1,13,Saturday,11.099999999999966,7093.310154155495,Very Low,29.644351464435147,91687.31999999999,9560.4,26.0,114.875,140.875,106.8125
M,297.4,308.6,1522,38.0,33,0,No Failure,2024-01-13 08:45:00,2024,1,13,Saturday,11.200000000000045,6056.88672922252,Very Low,40.05263157894737,91777.64,10183.800000000001,28.0,107.75,138.625,107.10416666666667
L,297.3,308.4,1339,52.1,36,0,No Failure,2024-01-13 09:00:00,2024,1,13,Saturday,11.099999999999966,7305.82900469169,Very Low,25.70057581573896,91687.31999999999,11102.4,30.0,100.625,136.375,107.38541666666667
M,297.2,308.3,1794,27.5,38,0,No Failure,2024-01-13 09:15:00,2024,1,13,Saturday,11.100000000000023,5166.617794906167,Very Low,65.23636363636363,91626.76,11715.4,32.25,93.54166666666667,134.125,107.67708333333333
L,297.2,308.4,1460,42.1,41,0,No Failure,2024-01-13 09:30:00,2024,1,13,Saturday,11.199999999999989,6437.039209115282,Very Low,34.679334916864605,91656.48,12644.4,34.5,86.45833333333333,131.85416666666666,107.96875
M,297.2,308.3,1776,28.0,43,0,No Failure,2024-01-13 09:45:00,2024,1,13,Saturday,11.100000000000023,5207.774798927614,Very Low,63.42857142857143,91626.76,13256.9,37.0,79.41666666666667,129.60416666666666,108.26041666666667
M,297.2,308.3,1431,43.7,46,0,No Failure,2024-01-13 10:00:00,2024,1,13,Saturday,11.100000000000023,6548.959031501341,Very Low,32.74599542334096,91626.76,14181.800000000001,39.5,72.33333333333333,127.35416666666667,108.54166666666667
L,297.1,308.2,1347,50.8,49,0,No Failure,2024-01-13 10:15:00,2024,1,13,Saturday,11.099999999999966,7166.094168900803,Very Low,26.515748031496063,91566.22,15101.8,42.0,65.29166666666667,125.125,108.8125
M,297.0,308.1,1507,43.1,51,0,No Failure,2024-01-13 10:30:00,2024,1,13,Saturday,11.100000000000023,6802.079842493298,Low,34.96519721577726,91505.70000000001,15713.1,44.75,58.291666666666664,122.91666666666667,109.09375
M,297.0,308.0,1408,47.9,54,0,No Failure,2024-01-13 10:45:00,2024,1,13,Saturday,11.0,7063.002680965147,Low,29.39457202505219,91476.0,16632.0,47.25,51.291666666666664,120.70833333333333,109.34375
M,297.0,307.9,1493,34.7,57,0,No Failure,2024-01-13 11:00:00,2024,1,13,Saturday,10.899999999999977,5425.508964477212,Low,43.02593659942363,91446.29999999999,17550.3,50.0,44.291666666666664,118.52083333333333,109.59375
M,296.9,307.9,1441,47.6,60,0,No Failure,2024-01-13 11:15:00,2024,1,13,Saturday,11.0,7183.269101876676,Low,30.27310924369748,91415.50999999998,18474.0,52.75,37.208333333333336,116.33333333333333,109.84375
H,296.9,307.9,1557,36.5,63,0,No Failure,2024-01-13 11:30:00,2024,1,13,Saturday,11.0,5951.585539544236,Low,42.657534246575345,91415.50999999998,19397.699999999997,55.5,30.166666666666668,114.16666666666667,110.07291666666667
M,296.9,307.9,1979,20.4,68,0,No Failure,2024-01-13 11:45:00,2024,1,13,Saturday,11.0,4227.923927613941,Low,97.00980392156863,91415.50999999998,20937.199999999997,58.5,32.791666666666664,112.02083333333333,110.28125
M,296.9,308.0,1430,55.9,71,0,No Failure,2024-01-13 12:00:00,2024,1,13,Saturday,11.100000000000023,8371.418398123324,Low,25.58139534883721,91445.2,21868.0,62.0,35.5,109.9375,110.52083333333333
L,296.9,308.0,1658,41.0,74,0,No Failure,2024-01-13 12:15:00,2024,1,13,Saturday,11.100000000000023,7119.00971849866,Low,40.4390243902439,91445.2,22792.0,65.5,38.208333333333336,107.875,110.76041666666667
M,297.0,308.1,1355,51.4,76,0,No Failure,2024-01-13 12:30:00,2024,1,13,Saturday,11.100000000000023,7293.796079088472,Low,26.361867704280158,91505.70000000001,23415.600000000002,69.0,40.916666666666664,105.83333333333333,111.01041666666667
H,297.0,308.1,1410,47.6,79,0,No Failure,2024-01-13 12:45:00,2024,1,13,Saturday,11.100000000000023,7028.736595174263,Low,29.621848739495796,91505.70000000001,24339.9,72.25,43.583333333333336,103.72916666666667,111.25
L,296.9,308.0,1521,34.5,84,0,No Failure,2024-01-13 13:00:00,2024,1,13,Saturday,11.100000000000023,5495.402563672922,Low,44.08695652173913,91445.2,25872.0,75.0,46.291666666666664,101.64583333333333,111.5
L,296.8,308.0,1371,54.5,86,0,No Failure,2024-01-13 13:15:00,2024,1,13,Saturday,11.199999999999989,7825.01466152815,Low,25.155963302752294,91414.40000000001,26488.0,78.25,49.125,99.5625,111.77083333333333
H,296.9,308.0,1318,53.5,88,0,No Failure,2024-01-13 13:30:00,2024,1,13,Saturday,11.100000000000023,7384.488103217158,Low,24.635514018691588,91445.2,27104.0,81.25,51.833333333333336,97.41666666666667,112.04166666666667
M,297.0,308.1,1573,34.9,93,0,No Failure,2024-01-13 13:45:00,2024,1,13,Saturday,11.100000000000023,5749.172670911528,Low,45.071633237822354,91505.70000000001,28653.300000000003,84.25,54.541666666666664,95.27083333333333,112.3125
L,297.0,308.1,1489,44.1,96,0,No Failure,2024-01-13 14:00:00,2024,1,13,Saturday,11.100000000000023,6876.769855898125,Low,33.764172335600904,91505.70000000001,29577.600000000002,87.75,57.375,93.1875,112.61458333333333
L,297.0,308.1,1537,39.0,103,0,No Failure,2024-01-13 14:30:00,2024,1,13,Saturday,11.100000000000023,6277.542727882038,Medium,39.41025641025641,91505.70000000001,31734.300000000003,90.75,60.25,91.125,112.89583333333333
H,296.9,308.0,1416,46.9,105,0,No Failure,2024-01-13 14:45:00,2024,1,13,Saturday,11.100000000000023,6954.842493297587,Medium,30.191897654584224,91445.2,32340.0,95.0,63.333333333333336,89.10416666666667,113.21875
L,296.9,307.9,1359,56.5,110,0,No Failure,2024-01-13 15:00:00,2024,1,13,Saturday,11.0,8041.167476541555,Medium,24.053097345132745,91415.50999999998,33869.0,99.25,66.41666666666667,87.08333333333333,113.53125
M,296.8,307.8,1551,38.9,112,0,No Failure,2024-01-13 15:15:00,2024,1,13,Saturday,11.0,6318.479808981233,Medium,39.87146529562982,91355.04000000001,34473.6,103.5,69.625,85.125,113.84375
M,296.8,307.8,1694,33.0,115,0,No Failure,2024-01-13 15:30:00,2024,1,13,Saturday,11.0,5854.348190348525,Medium,51.333333333333336,91355.04000000001,35397.0,107.5,72.79166666666667,83.16666666666667,114.14583333333333
L,296.8,307.9,1709,28.4,118,0,No Failure,2024-01-13 15:45:00,2024,1,13,Saturday,11.099999999999966,5082.900469168901,Medium,60.176056338028175,91384.72,36332.2,110.5,76.0,81.22916666666667,114.45833333333333
L,296.9,308.0,1514,41.0,120,0,No Failure,2024-01-13 16:00:00,2024,1,13,Saturday,11.100000000000023,6500.712131367292,Medium,36.926829268292686,91445.2,36960.0,113.75,79.20833333333333,79.3125,114.78125
L,297.0,308.1,1455,43.5,122,0,No Failure,2024-01-13 16:15:00,2024,1,13,Saturday,11.100000000000023,6628.319788873995,Medium,33.44827586206897,91505.70000000001,37588.200000000004,116.25,82.41666666666667,77.375,115.10416666666667
M,297.0,308.2,1702,30.7,124,0,No Failure,2024-01-13 16:30:00,2024,1,13,Saturday,11.199999999999989,5472.038371313673,Medium,55.43973941368078,91535.4,38216.799999999996,118.75,85.58333333333333,75.4375,115.42708333333333
M,296.9,308.1,1357,41.8,127,0,No Failure,2024-01-13 16:45:00,2024,1,13,Saturday,11.200000000000045,5940.285690348525,Medium,32.464114832535884,91474.89,39128.700000000004,121.0,88.70833333333333,73.5,115.71875
L,297.0,308.2,1577,29.4,130,0,No Failure,2024-01-13 17:00:00,2024,1,13,Saturday,11.199999999999989,4855.458277479892,Medium,53.63945578231293,91535.4,40066.0,123.25,91.875,71.58333333333333,116.02083333333333
M,297.0,308.3,1399,46.4,132,0,Random Failures,2024-01-13 17:15:00,2024,1,13,Saturday,11.300000000000011,6798.08981233244,Medium,30.15086206896552,91565.1,40695.6,125.75,95.04166666666667,69.66666666666667,116.33333333333333
L,297.0,308.3,1399,59.0,135,0,No Failure,2024-01-13 17:30:00,2024,1,13,Saturday,11.300000000000011,8644.122821715817,Medium,23.71186440677966,91565.1,41620.5,128.25,98.16666666666667,67.6875,116.61458333333333
L,297.0,308.3,1492,48.1,137,0,No Failure,2024-01-13 17:45:00,2024,1,13,Saturday,11.300000000000011,7515.625,Medium,31.018711018711016,91565.1,42237.1,131.0,101.29166666666667,65.72916666666667,116.89583333333333
L,297.1,308.3,1763,25.7,139,0,No Failure,2024-01-13 18:00:00,2024,1,13,Saturday,11.199999999999989,4745.004607908847,Medium,68.59922178988327,91595.93000000001,42853.700000000004,133.5,104.375,68.58333333333333,117.16666666666667
H,297.1,308.3,1492,41.5,141,0,No Failure,2024-01-13 18:15:00,2024,1,13,Saturday,11.199999999999989,6484.375,Medium,35.95180722891566,91595.93000000001,43470.3,135.75,107.33333333333333,71.41666666666667,117.4375
L,297.1,308.4,1488,42.5,146,0,No Failure,2024-01-13 18:30:00,2024,1,13,Saturday,11.299999999999955,6622.821715817694,Medium,35.01176470588236,91625.64,45026.399999999994,138.0,110.25,74.22916666666667,117.69791666666667
L,297.1,308.4,1422,42.1,148,0,No Failure,2024-01-13 18:45:00,2024,1,13,Saturday,11.299999999999955,6269.499832439678,Medium,33.77672209026128,91625.64,45643.2,140.75,113.25,77.08333333333333,117.97916666666667
